# exported by fityk 0.8.7
#17-X:x	17-X:y	17-X:s	17-X:F(x)	17-X:%_1(x)	17-X:%_2(x)	17-X:a
0.79	0	1	2.09992e-217	2.09992e-217	3.39465e-308	1
0.81	0	1	3.51108e-216	3.51108e-216	1.17137e-306	1
0.82	0	1	1.43147e-215	1.43147e-215	6.85818e-306	1
0.84	0	1	2.36545e-214	2.36545e-214	2.33548e-304	1
0.86	0	1	3.87827e-213	3.87827e-213	7.88355e-303	1
0.87	0	1	1.56576e-212	1.56576e-212	4.56523e-302	1
0.89	0	1	2.53712e-211	2.53712e-211	1.52082e-300	1
0.9	0	1	1.01829e-210	1.01829e-210	8.74888e-300	1
0.92	0	1	1.63072e-209	1.63072e-209	2.87632e-298	1
0.93	0	1	6.50664e-209	6.50664e-209	1.64379e-297	1
0.95	0	1	1.02981e-207	1.02981e-207	5.33335e-296	1
0.97	0	1	1.61715e-206	1.61715e-206	1.71527e-294	1
0.98	0	1	6.38956e-206	6.38956e-206	9.69542e-294	1
1	0	1	9.91647e-205	9.91647e-205	3.07729e-292	1
1.01	0	1	3.89514e-204	3.89514e-204	1.72797e-291	1
1.03	0	1	5.97449e-203	5.97449e-203	5.41262e-290	1
1.05	0	1	9.09228e-202	9.09228e-202	1.68058e-288	1
1.06	0	1	3.53657e-201	3.53657e-201	9.33364e-288	1
1.08	0	1	5.31919e-200	5.31919e-200	2.86003e-286	1
1.09	0	1	2.05684e-199	2.05684e-199	1.57797e-285	1
1.11	0	1	3.05743e-198	3.05743e-198	4.77185e-284	1
1.12	2	1.41421	1.17532e-197	1.17532e-197	2.61546e-283	1
1.14	0	1	1.72665e-196	1.72665e-196	7.8056e-282	1
1.16	0	1	2.51678e-195	2.51678e-195	2.3091e-280	1
1.17	0	1	9.58051e-195	9.58051e-195	1.25178e-279	1
1.19	0	1	1.38014e-193	1.38014e-193	3.65457e-278	1
1.2	0	1	5.2229e-193	5.2229e-193	1.96814e-277	1
1.22	8	2.82843	7.43595e-192	7.43595e-192	5.67064e-276	1
1.24	13	3.60555	1.0504e-190	1.0504e-190	1.61952e-274	1
1.25	19	4.3589	3.9363e-190	3.9363e-190	8.62644e-274	1
1.27	30	5.47723	5.4954e-189	5.4954e-189	2.43139e-272	1
1.28	31	5.56776	2.04728e-188	2.04728e-188	1.28657e-271	1
1.3	26	5.09902	2.82475e-187	2.82475e-187	3.57872e-270	1
