# exported by fityk 0.8.7
#15-X:x	15-X:y	15-X:s	15-X:F(x)	15-X:%_3(x)	15-X:%_4(x)	15-X:a
0.79	0	1	7.32137e-175	7.32137e-175	3.8547e-297	1
0.81	0	1	7.07862e-174	7.07862e-174	1.15525e-295	1
0.82	0	1	2.19584e-173	2.19584e-173	6.30444e-295	1
0.84	0	1	2.10304e-172	2.10304e-172	1.86574e-293	1
0.86	0	1	2.00151e-171	2.00151e-171	5.47524e-292	1
0.87	0	1	6.16005e-171	6.16005e-171	2.95671e-291	1
0.89	0	1	5.80743e-170	5.80743e-170	8.56805e-290	1
0.9	0	1	1.77892e-169	1.77892e-169	4.59778e-289	1
0.92	0	1	1.6613e-168	1.6613e-168	1.31565e-287	1
0.93	0	1	5.06484e-168	5.06484e-168	7.01565e-287	1
0.95	0	1	4.68541e-167	4.68541e-167	1.98235e-285	1
0.97	0	1	4.30716e-166	4.30716e-166	5.55446e-284	1
0.98	0	1	1.30282e-165	1.30282e-165	2.93091e-283	1
1	0	1	1.18637e-164	1.18637e-164	8.1093e-282	1
1.01	0	1	3.57157e-164	3.57157e-164	4.25211e-281	1
1.03	0	1	3.22169e-163	3.22169e-163	1.16173e-279	1
1.05	0	1	2.88782e-162	2.88782e-162	3.14742e-278	1
1.06	0	1	8.62552e-162	8.62552e-162	1.63309e-277	1
1.08	0	1	7.65883e-161	7.65883e-161	4.36896e-276	1
1.09	0	1	2.27679e-160	2.27679e-160	2.25265e-275	1
1.11	0	1	2.00259e-159	2.00259e-159	5.9509e-274	1
1.12	1	1	5.92514e-159	5.92514e-159	3.049e-273	1
1.14	1	1	5.16247e-158	5.16247e-158	7.95368e-272	1
1.16	0	1	4.46969e-157	4.46969e-157	2.05743e-270	1
1.17	0	1	1.31208e-156	1.31208e-156	1.04312e-269	1
1.19	2	1.41421	1.12531e-155	1.12531e-155	2.66448e-268	1
1.2	2	1.41421	3.28776e-155	3.28776e-155	1.3424e-267	1
1.22	10	3.16228	2.7932e-154	2.7932e-154	3.38594e-266	1
1.24	17	4.12311	2.35812e-153	2.35812e-153	8.46887e-265	1
1.25	21	4.58258	6.83549e-153	6.83549e-153	4.2221e-264	1
1.27	36	6	5.71642e-152	5.71642e-152	1.04278e-262	1
1.28	27	5.19615	1.6492e-151	1.6492e-151	5.16604e-262	1
1.3	22	4.69042	1.36622e-150	1.36622e-150	1.25992e-260	1
1.31	27	5.19615	3.92297e-150	3.92297e-150	6.20251e-260	1
1.33	27	5.19615	3.21922e-149	3.21922e-149	1.49374e-258	1
1.35	24	4.89898	2.62511e-148	2.62511e-148	3.56721e-257	1
1.36	20	4.47214	7.47859e-148	7.47859e-148	1.73775e-256	1
1.38	31	5.56776	6.04099e-147	6.04099e-147	4.0979e-255	1
